coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Mar 02 21:22:19 +0000 2020,,,https://www.vox.com/2020/3/2/21161193/pence-azar-coronavirus-response-meet-the-press-state-of-the-union,0,1.23459E+18,,,,en,,FALSE,,1007,1.23458E+18,atrupar,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Pence and Azar’s coronavirus TV tour revealed that their main concern is protecting Trump https://t.co/ztCgFgQOmX,https://twitter.com/TweetyFreedom/status/1234589881046839296,Sun Feb 18 18:48:04 +0000 2018,9.65297E+17,FALSE,"After telling myself I'd never join Twitter, I finally did to see what goes on in Tweetsville. Please clap.",216746,617,995,1,United States,Tweety Freedom,TweetyFreedom,52898,,,FALSE
,Mon Mar 02 21:22:22 +0000 2020,,,https://projects.sfchronicle.com/2020/coronavirus-map/,6,1.23459E+18,,,,en,,FALSE,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Bay Area friends - this is the best summary of current COVID-19 situation I've seen. Nice job @sfchronicle  https://t.co/bStI0yBDOX,https://twitter.com/MayaKaczorowski/status/1234589893277339648,Fri Mar 18 05:52:37 +0000 2016,7.10705E+17,FALSE,"Product @tailscale. Previously @github, @googlecloud, @McKinsey. I love puzzles almost as much as ice cream. All opinions my own. she/her",30127,9706,831,240,"San Francisco, CA",Maya Kaczorowski,MayaKaczorowski,7518,,http://www.mayakaczorowski.com,FALSE
,Mon Mar 02 21:22:18 +0000 2020,,,,0,1.23459E+18,,,,en,,,,304,1.23457E+18,seattletimes,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BREAKING: Six people have now died from coronavirus disease in Washington state; King County buying a motel to house isolated patients. (via @sydbrownstone)
https://t.co/36a6hIKvIZ",https://twitter.com/JenaMidgetMarie/status/1234589876391047168,Thu Mar 12 15:19:12 +0000 2009,23965836,FALSE,"Short, Sweet & Under 5ft. #Raiders☠️",1493,109,172,5,Seattle,Midgety Fidgety,JenaMidgetMarie,52832,,,FALSE
,Mon Mar 02 21:22:22 +0000 2020,nyc covid19 coronavirus USA,,https://www.youtube.com/watch?v=d-diB65scQU,0,1.23459E+18,,,,en,,FALSE,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","don't worry - it'll soon pass - don't worry be happy! #nyc #covid19 #coronavirus #USA 
https://t.co/r3ycPrE5vW",https://twitter.com/jbond77/status/1234589893684289536,Sun Mar 08 19:35:46 +0000 2009,23344344,FALSE,"Harlem Rocket Ship Builder, Original Mustard Bastard, Pickle Juice Aficionado, CEO of Underground Books, President of The New York Browning Society",11480,170,135,4,"Harlem, New York",James B Kepple,jbond77,10020,,http://www.undergroundbooks.org,FALSE
,Mon Mar 02 21:22:24 +0000 2020,,,,0,1.23459E+18,,,,en,,,,31965,1.23454E+18,JuddLegum,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BREAKING: The CDC has stopped disclosing the number of Americans tested for coronavirus. 

On the left is how the website looked last night. On the right is what it looks like now, with the testing info removed.

The lack of testing is a scandal. 

This is the coverup. https://t.co/za5w9dkEKq",https://twitter.com/_changemy_soul/status/1234589898973360128,Tue Jun 15 14:26:34 +0000 2010,155922293,FALSE,,13275,218,406,4,Music & Words,C.,_changemy_soul,61055,,,FALSE
,Mon Mar 02 21:22:20 +0000 2020,,,,0,1.23459E+18,,,,en,,,1.23456E+18,2105,1.23456E+18,chrislhayes,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This suggests the actual number of cases in Washington are much much higher than the limited testing currently shows. https://t.co/uTcLBWZkc4,https://twitter.com/hauteaire/status/1234589884725133312,Tue Aug 13 21:51:18 +0000 2013,1668830558,FALSE,"Mom, wife, lover of flowers and sports. Not a bot, just found my voice. Disliker of our current “leader”, resistance supporter. Sun Devil #forksup",22997,951,1547,0,"Arizona, USA",Saucy Wench,hauteaire,5956,,,FALSE
,Mon Mar 02 21:22:18 +0000 2020,COVID19,,,0,1.23459E+18,,,,en,,,1.23457E+18,372,1.23458E+18,richardneher,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Very useful comparison of case fatality ratio by @jbloom_lab! #COVID19 is very dangerous for the elderly! https://t.co/DDm8j3k2Bk https://t.co/tIH0SmqljP,https://twitter.com/KenVaughanSoc/status/1234589876017881088,Wed Aug 30 17:38:59 +0000 2017,9.02949E+17,FALSE,"Christian. Husband. Dad. Mexican American. Sociologist. Professor. Research on nativism, authoritarianism, religion, migration, and health.",2839,313,1159,2,,Kenneth Vaughan,KenVaughanSoc,12422,,,FALSE
,Mon Mar 02 21:22:20 +0000 2020,coronavirus creativity china,https://twitter.com/RudyakMarina/status/1233401515739697152/video/1,,0,1.23459E+18,,,,en,,FALSE,,12810,1.2334E+18,RudyakMarina,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",What to do if you can't shake hands? #coronavirus #creativity #china https://t.co/MZ5aginwdD,https://twitter.com/realNick1st/status/1234589883160723456,Fri Feb 05 01:07:02 +0000 2016,4861755296,FALSE,"New Yorker, Engineer, M.Eng.",12479,141,416,10,"Upper East Side, NY",Nick,realNick1st,5029,,https://dev.twitter.com/,FALSE
,Mon Mar 02 21:22:22 +0000 2020,,,,0,1.23459E+18,,,,en,,,,63297,1.23345E+18,KarenFlemingPhD,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PSA for non-science folks: Wonder why everyone is emphasizing hand washing? Sounds banal, but soap really IS an amazing weapon that we all have in our homes. This is because coronavirus is an ""enveloped"" virus, which means that it has an outer lipid membrane layer. 
1/3",https://twitter.com/rachelkeats/status/1234589890412720128,Sat Apr 28 14:08:47 +0000 2012,565471738,FALSE,how is tables a job,19448,50,411,0,"Cleveland, OH",Rachel,rachelkeats,3374,,,FALSE
,Mon Mar 02 21:22:24 +0000 2020,FoxBusiness,,https://fxn.ws/39gGTKr,0,1.23459E+18,,,,en,,FALSE,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dow, S&amp;P and Nasdaq score biggest point gains ever as stocks make coronavirus comeback https://t.co/YKIssWRlcM #FoxBusiness",https://twitter.com/IAMINKCOGNITO/status/1234589898650181632,Mon Jan 14 20:38:48 +0000 2013,1090099826,FALSE,A political middle of the roader trying very hard not to steer too far to the left or right.,3,378,1408,6,"PALM SPRINGS, CA",Johann Wagener,IAMINKCOGNITO,29489,,https://about.me/johannwagener,FALSE
